text_segment,articles,compliance
We may provide our analysis and certain non-personal information to third parties who may in turn use this information to provide advertisements tailored to your interests,Article 13 - Information to be provided where personal data are collected from the data subject ,compliant
"We use Secure Socket Layer (SSL) technology to encrypt important information, such as your credit card data, in an effort to prevent unauthorized access during transmission of your orders over the Internet.",Article 46 - Transfers subject to appropriate safeguards ,compliant
We incorporate standard industry practices suitable to the degree of sensitivity of the information involved to maintain the security of your personal information and to avoid its disclosure except as described in this policy.,Article 46 - Transfers subject to appropriate safeguards ,compliant
We limit access to personal data only to those Source employees or agents with a specific need to access or retrieve this information.,Article 46 - Transfers subject to appropriate safeguards ,compliant
"We store data on multiple service systems, in controlled, secure environments.",Article 46 - Transfers subject to appropriate safeguards ,compliant
We seek to maintain the integrity and security of your Personal Information.,Article 46 - Transfers subject to appropriate safeguards ,compliant
We use industry-standard encryption protocols when receiving and transferring your Personal Information.,Article 46 - Transfers subject to appropriate safeguards ,compliant
"when you send Personal Information to us over the Internet, we first require that a secure session be established using Secure Socket Layer (SSL).",Article 46 - Transfers subject to appropriate safeguards ,compliant
"We seek to store your Personal Information in secure operating environments that are not accessible to the general public, and to have security measures in place at our physical facilities to protect against the loss, misuse or alteration of your Personal Information by our employees or third parties.",Article 46 - Transfers subject to appropriate safeguards ,compliant
We will then seek to investigate whether the security breach was related to the data transmissions from or to us and let you know what steps can be taken and have been taken to help rectify the problem.,Article 46 - Transfers subject to appropriate safeguards ,compliant
"In accordance with applicable state and federal regulations, we maintain physical, procedural and electronic safeguards to protect the privacy and confidentiality of your nonpublic personal information.",Article 46 - Transfers subject to appropriate safeguards ,compliant
We have policies and procedures in place to protect nonpublic personal information about our customers.,Article 46 - Transfers subject to appropriate safeguards ,compliant
"We cannot guarantee the security of our Sites servers or databases, nor can we guarantee that information you supply will not be intercepted while being transmitted to us over the Internet",Article 46 - Transfers subject to appropriate safeguards ,compliant
They are required to comply with appropriate security measures to protect your personal data.,Article 46 - Transfers subject to appropriate safeguards ,compliant
"In order to improve guest online and mobile shopping experiences, help with fraud identification",Article 5 - Principles relating to processing of personal data ,compliant
"we use tools to monitor certain user experience information including login information, IP address, data regarding pages visited and ads clicked, specific actions taken on pages visited ( information entered during checkout process), browser and device information.",Article 9 - Processing of special categories of personal data ,compliant
"We maintain administrative, technical, and physical safeguards to protect your personal information.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"When we collect or transmit sensitive information such as a credit or debit card number, we use industry standard methods to protect that information.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"However, no e-commerce solution, website, mobile application, database or system is completely secure or hacker proof You are also responsible for taking reasonable steps to protect your personal information against unauthorized disclosure or misuse.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"We have implemented appropriate technical and organisational controls to protect your personal data against unauthorised processing and against accidental loss, damage or destruction.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"Although we will do our best to protect your personal data once with us, we cannot guarantee the security of any personal data sent to our site while still in transit and so you provide it at your own risk.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"While other countries or territories may not have the same standards of data protection as those in your home country, we will continue to protect personal data that we transfer in line with this privacy policy.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"Whenever we transfer your personal data out of the European Economic Area (EEA), we ensure similar protection and put in place at least one of these safeguards:",Article 46 - Transfers subject to appropriate safeguards ,compliant
We will only transfer your personal data to countries that have been found to provide an adequate level of protection for personal data.,Article 46 - Transfers subject to appropriate safeguards ,compliant
These contracts give your personal data the same protection it has in the EEA .,Article 46 - Transfers subject to appropriate safeguards ,compliant
"Where we use service providers in the United States, we may transfer personal data to them if they are part of the Privacy Shield scheme, which requires them to provide a similar level of protection of your personal data to what is required in the EEA.",Article 46 - Transfers subject to appropriate safeguards ,compliant
Your Account information will be protected by a password for your privacy and security.,Article 46 - Transfers subject to appropriate safeguards ,compliant
We take precautions to ensure the security of your personal information.,Article 46 - Transfers subject to appropriate safeguards ,compliant
"Although we do our best to protect your personal information, we cannot guarantee the security of your personal information transmitted to our Website.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"To help protect your privacy and maintain security, we will take steps to verify your identity and/or may ask you to provide other details before granting you access to the information.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"When we transfer your personal information to other countries, we will protect that information as described in this Privacy Notice and in accordance with applicable law.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"We use contractual protections for the transfer of personal information among various jurisdictions (including, for example, the European Commission's standard contractual clauses).",Article 46 - Transfers subject to appropriate safeguards ,compliant
"We maintain administrative, technical and physical safeguards designed to protect the personal information you provide against accidental, unlawful or unauthorized destruction, loss, alteration, access, disclosure or use.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"For any such transfers, UPS takes necessary contractual measures to ensure that your personal information receives an adequate level of protection (including, for example, standard contractual clauses).",Article 46 - Transfers subject to appropriate safeguards ,compliant
"We use the data we collect to maintain Quizlet as a safe and secure platform for all our users, including appropriate enforcement of Quizlet policies, as well as compliance with the law and applicable regulations.",Article 46 - Transfers subject to appropriate safeguards ,compliant
"Preventing fraud, crime and abuse and the security and integrity of the Service.",Article 46 - Transfers subject to appropriate safeguards ,compliant
