text_segment,articles,compliance
"A controller was sanctioned because he had unlawfully processed the personal data (CNP), and images of employees obtained through the surveillance system. The disclosure of the CNP in a report for the ISCIR training in 2018 wasn’t legal, as per Art.6 GDPR.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"A person was fined for having unlawfully filmed public areas using a private CCTV system. The system filmed parking lots, sidewalks, a garden area of a nearby property, and it also filmed the neighbors going in and out of their homes. The video surveillance was found to be unreasonable given the initial purpose of the CCTV system itself. Because it filmed private areas of life without the express consent of the people involved, the subject was fined.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The Austrian Post had sold detailed personal profiles of approximately three million Austrians to various companies and political parties. The profiles contained names, addresses, political predilections, and even intimate details.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The local community of Francavilla Fontana published online the details of an ongoing court trial that included personal information such as health data of several individuals.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
Not available.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company had unlawfully processed the personal data despite the subject’s request to stop doing so.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
A soccer coach was fined for having covertly filmed female players while they were taking showers. This had taken place for many years.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The Hungarian National Authority for Data Protection and the Freedom of Information (NAIH) concluded that the local authority of the city of Kerepes didn&#8217;t follow GDPR regulations when it installed a security camera. The Authority explained that the processing of the data was not in accordance with provisions of the GDPR.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"An international consulting firm uses secure data transfer protocols when exchanging personal data with overseas branches, ensuring compliance with GDPR's cross-border data transfer rules.",Not Specified,compliant
"Because of the inappropriate handling of personal data, more than 6 million individuals had their data hacked. This informational leak was a direct cause of the company&#8217;s security laxity.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The company sent a text message to a person&#8217;s phone number informing them that their contract was modified. The affected person, however, was not actually a Vodafone client. The AEPD determined that Vodafone had processed the affected person&#8217;s personal details without consent.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A travel agency regularly reviews and updates its privacy policies to reflect changes in data processing activities and to maintain transparency with customers, as required by GDPR.",Not Specified,compliant
"A private individual created a fake profile of a female colleague on an erotic website. The profile contained the affected person&#8217;s contact details and pictures as well as information of sexual nature. The affected person then received several phone calls from several people who were inquiring about the fake profile. The person who created the fake profile was found to have a personality disorder and as such the fine was reduced from €1,000 to €800.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company was fined because it operated a video surveillance system that had an observation angle that extended too far into the public traffic area. The video surveillance system was also not accompanied by any data protection notices.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company did not process the data using the appropriate security measures required to prevent unlawful alteration or destruction of the data.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The Company sent personal information through the WhatsApp platform to Raiffeisen Bank in order to facilitate the assessment of personal scores. The results were returned on the same platform.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"An online game operator was exposed to a DDoS attack that led to the malfunctioning of the game serves. The attackers blackmailed the operator into paying money for the attacks to stop. As part of the &#8220;deal&#8221;, the attackers offered the operator to create and implement a better firewall protection system that would prevent any future attacks from other parties. The operator agreed to this &#8220;deal&#8221;. The game operator then implemented the new code which indeed proved to be better than the old one used but &#8211; let&#8217;s be honest, unsurprisingly &#8211; also included a backdoor that allowed the attacker to steal all the data that was on the server which included player details and personal information. The attacker uploaded this information on their website after that.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A mobile service provider uses clear and accessible privacy notices, explaining in simple terms how customer data is used and protected.",Not Specified,compliant
"Nusvar AB, which operates the website Mrkoll.se, a site that provides information on all Swedes over the age of 16, published information on people with overdue payments.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"An Internet Service Provider offers automated privacy controls to users, allowing them to manage their data and privacy preferences easily.",Not Specified,compliant
"The data controllers didn’t exert sufficient rigorousness when handling personal client data, which led to the displacement of a flash memory stick with personal data.","Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
A second fine was issued to the company for the unlawful processing of employee biometric data (fingerprints). The processing of biometric data allegedly was necessary to give employees access to certain rooms. The national DPA argued that this was too excessive.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Fan Courier Express SRL, which is a national courier service, was given an €11,000 fine because it failed to take appropriate technical and organizational measures to prevent the loss of personal data (name, bank card number, CVV code, cardholder&#8217;s address, personal identification number, serial and identity card number, bank account number, authorized credit limit) of over 1100 private individuals.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
